# the reading for 3 rounds (include color, reflection, ambient)

DATA LOG STARTING - 3 ROUNDS
Format: Color | Refl | Amb | TurnRate | Notes
Color.BLUE   | 36   | 2    | 10   | [COLOR DETECTED!] 
Color.WHITE  | 42   | 2    | 3    | 
Color.BLUE   | 32   | 1    | 15   | [COLOR DETECTED!] 
Color.WHITE  | 49   | 2    | -4   | 
Color.WHITE  | 51   | 2    | -7   | 
Color.WHITE  | 53   | 2    | -9   | 
Color.WHITE  | 52   | 2    | -8   | 
Color.WHITE  | 47   | 2    | -2   | 
Color.WHITE  | 42   | 2    | 3    | 
Color.WHITE  | 38   | 2    | 8    | 
Color.WHITE  | 41   | 2    | 4    | 
Color.WHITE  | 43   | 2    | 2    | 
Color.WHITE  | 43   | 2    | 2    | 
Color.WHITE  | 46   | 2    | -1   | 
Color.WHITE  | 47   | 2    | -2   | 
Color.WHITE  | 48   | 2    | -3   | 
Color.WHITE  | 47   | 2    | -2   | 
Color.WHITE  | 48   | 2    | -3   | 
Color.WHITE  | 45   | 2    | 0    | 
Color.WHITE  | 42   | 2    | 3    | 
Color.WHITE  | 49   | 2    | -4   | 
Color.WHITE  | 96   | 4    | -61  | [CORNER] 
Color.WHITE  | 100  | 3    | -66  | [CORNER] 
Color.WHITE  | 100  | 4    | -66  | [CORNER] 
Color.WHITE  | 100  | 3    | -66  | [CORNER] 
Color.WHITE  | 99   | 3    | -64  | [CORNER] 
Color.WHITE  | 91   | 4    | -55  | [CORNER] 
Color.WHITE  | 93   | 3    | -57  | [CORNER] 
Color.WHITE  | 100  | 4    | -66  | [CORNER] 
Color.WHITE  | 89   | 3    | -52  | [CORNER] 
Color.WHITE  | 88   | 3    | -51  | [CORNER] 
Color.WHITE  | 93   | 3    | -57  | [CORNER] 
Color.WHITE  | 94   | 3    | -58  | [CORNER] 
Color.WHITE  | 98   | 4    | -63  | [CORNER] 
Color.WHITE  | 87   | 4    | -50  | [CORNER] 
Color.WHITE  | 89   | 3    | -52  | [CORNER] 
Color.WHITE  | 92   | 3    | -56  | [CORNER] 
Color.WHITE  | 46   | 2    | -1   | 
Color.BLUE   | 10   | 0    | 42   | [CORNER] [COLOR DETECTED!] [GREEN/BLUE LOW REFL] 
Color.BLACK  | 9    | 1    | 43   | [CORNER] 
Color.BLUE   | 36   | 1    | 10   | [COLOR DETECTED!] 
Color.BLUE   | 15   | 1    | 36   | [COLOR DETECTED!] [GREEN/BLUE LOW REFL] 
Color.BLUE   | 19   | 1    | 31   | [COLOR DETECTED!] [GREEN/BLUE LOW REFL] 
Color.BLUE   | 20   | 1    | 30   | [COLOR DETECTED!] [GREEN/BLUE LOW REFL] 
Color.BLUE   | 20   | 0    | 30   | [COLOR DETECTED!] [GREEN/BLUE LOW REFL] 
Color.BLUE   | 20   | 1    | 30   | [COLOR DETECTED!] [GREEN/BLUE LOW REFL] 
Color.BLUE   | 31   | 1    | 16   | [COLOR DETECTED!] 
Color.WHITE  | 51   | 2    | -7   | 
Color.WHITE  | 82   | 3    | -44  | [CORNER] 
Color.WHITE  | 85   | 2    | -48  | [CORNER] 
Color.WHITE  | 91   | 3    | -55  | [CORNER] 
Color.WHITE  | 79   | 3    | -40  | [CORNER] 
Color.WHITE  | 32   | 2    | 15   | 
Color.BLUE   | 11   | 0    | 40   | [CORNER] [COLOR DETECTED!] [GREEN/BLUE LOW REFL] 
Color.BLUE   | 15   | 1    | 36   | [COLOR DETECTED!] [GREEN/BLUE LOW REFL] 
Color.BLUE   | 20   | 1    | 30   | [COLOR DETECTED!] [GREEN/BLUE LOW REFL] 
Color.BLUE   | 35   | 2    | 12   | [COLOR DETECTED!] 
Color.WHITE  | 50   | 2    | -6   | 
Color.WHITE  | 59   | 3    | -16  | 
Color.WHITE  | 59   | 2    | -16  | 
Color.WHITE  | 58   | 2    | -15  | 
Color.WHITE  | 47   | 2    | -2   | 
Color.WHITE  | 40   | 2    | 6    | 
Color.WHITE  | 38   | 2    | 8    | 
Color.WHITE  | 42   | 2    | 3    | 
Color.WHITE  | 43   | 2    | 2    | 
Color.WHITE  | 45   | 2    | 0    | 
Color.WHITE  | 45   | 2    | 0    | 
Color.WHITE  | 45   | 2    | 0    | 
Color.WHITE  | 43   | 2    | 2    | 
Color.WHITE  | 43   | 2    | 2    | 
Color.WHITE  | 48   | 2    | -3   | 
Color.WHITE  | 50   | 2    | -6   | 
Color.WHITE  | 45   | 2    | 0    | 
Color.WHITE  | 48   | 2    | -3   | 
Color.WHITE  | 45   | 2    | 0    | 
Color.WHITE  | 44   | 2    | 1    | 
Color.WHITE  | 80   | 2    | -42  | [CORNER] 
Color.BLUE   | 100  | 2    | -66  | [CORNER] [COLOR DETECTED!] 
Color.BLUE   | 98   | 2    | -63  | [CORNER] [COLOR DETECTED!] 
Color.BLACK  | 9    | 1    | 43   | [CORNER] 
Color.BLACK  | 8    | 0    | 44   | [CORNER] 
Color.GREEN  | 14   | 0    | 37   | [COLOR DETECTED!] [GREEN/BLUE LOW REFL] 
Color.BLACK  | 13   | 0    | 38   | 
Color.BLACK  | 11   | 0    | 40   | [CORNER] 
Color.BLUE   | 8    | 1    | 44   | [CORNER] [COLOR DETECTED!] [GREEN/BLUE LOW REFL] 
Color.BLACK  | 7    | 0    | 45   | [CORNER] 
Color.BLACK  | 7    | 0    | 45   | [CORNER] 
Color.BLACK  | 9    | 1    | 43   | [CORNER] 
Color.BLUE   | 27   | 2    | 21   | [COLOR DETECTED!] 
Color.WHITE  | 60   | 2    | -18  | 
Color.WHITE  | 86   | 3    | -49  | [CORNER] 
Color.WHITE  | 87   | 3    | -50  | [CORNER] 
Color.WHITE  | 86   | 4    | -49  | [CORNER] 
Color.WHITE  | 93   | 4    | -57  | [CORNER] 
Color.WHITE  | 94   | 3    | -58  | [CORNER] 
Color.WHITE  | 90   | 3    | -54  | [CORNER] 
Color.WHITE  | 86   | 3    | -49  | [CORNER] 
Color.WHITE  | 26   | 1    | 22   | 
Color.BLACK  | 8    | 0    | 44   | [CORNER] 
Color.BLACK  | 8    | 0    | 44   | [CORNER] 
Color.BLACK  | 10   | 0    | 42   | [CORNER] 
Color.BLACK  | 11   | 1    | 40   | [CORNER] 
Color.BLUE   | 20   | 1    | 30   | [COLOR DETECTED!] [GREEN/BLUE LOW REFL] 
Color.BLUE   | 31   | 2    | 16   | [COLOR DETECTED!] 
Color.WHITE  | 50   | 2    | -6   | 
Color.WHITE  | 63   | 3    | -21  | 
Color.WHITE  | 68   | 3    | -27  | 
Color.WHITE  | 64   | 3    | -22  | 
Color.WHITE  | 50   | 2    | -6   | 
Color.WHITE  | 38   | 1    | 8    | 
Color.WHITE  | 38   | 2    | 8    | 
Color.WHITE  | 33   | 2    | 14   | 
Color.BLUE   | 36   | 2    | 10   | [COLOR DETECTED!] 
Color.WHITE  | 43   | 2    | 2    | 
Color.WHITE  | 49   | 2    | -4   | 
Color.WHITE  | 51   | 2    | -7   | 
Color.WHITE  | 51   | 2    | -7   | 
Color.WHITE  | 46   | 2    | -1   | 
Color.WHITE  | 47   | 2    | -2   | 
Color.WHITE  | 45   | 2    | 0    | 
Color.BLUE   | 100  | 2    | -66  | [CORNER] [COLOR DETECTED!] 
Color.RED    | 97   | 1    | -62  | [CORNER] [COLOR DETECTED!] 
Color.BROWN  | 8    | 0    | 44   | [CORNER] [COLOR DETECTED!] 
Color.BLACK  | 9    | 0    | 43   | [CORNER] 
Color.BLACK  | 11   | 0    | 40   | [CORNER] 
Color.BLACK  | 15   | 1    | 36   | 
Color.BLACK  | 10   | 1    | 42   | [CORNER] 
Color.BLACK  | 10   | 1    | 42   | [CORNER] 
Color.BLUE   | 20   | 1    | 30   | [COLOR DETECTED!] [GREEN/BLUE LOW REFL] 
Color.WHITE  | 55   | 2    | -12  | 
Color.WHITE  | 78   | 3    | -39  | 
Color.WHITE  | 88   | 3    | -51  | [CORNER] 
Color.WHITE  | 88   | 3    | -51  | [CORNER] 
Color.WHITE  | 89   | 3    | -52  | [CORNER] 
Color.WHITE  | 81   | 3    | -43  | [CORNER] 
Color.WHITE  | 41   | 2    | 4    | 
Color.BLUE   | 16   | 1    | 34   | [COLOR DETECTED!] [GREEN/BLUE LOW REFL] 
Color.BLUE   | 17   | 0    | 33   | [COLOR DETECTED!] [GREEN/BLUE LOW REFL] 
