light blue station: 
Color Code | Refl | Amb
Color.BLUE   | 12   | 1   
Color.BLUE   | 12   | 1   
Color.BLACK  | 12   | 0   
Color.BLUE   | 12   | 1   
Color.BLACK  | 12   | 0   
Color.BLACK  | 11   | 0   
Color.BLACK  | 10   | 0   
Color.GREEN  | 4    | 0   
Color.BLACK  | 5    | 0   
Color.GREEN  | 8    | 0   
Color.BLACK  | 12   | 1   
Color.BLACK  | 13   | 1   
Color.BLACK  | 12   | 1   
Color.BLACK  | 12   | 0   
Color.BLACK  | 13   | 1   
Color.BLACK  | 11   | 0   
Color.GREEN  | 4    | 0   
Color.GREEN  | 3    | 0   
Color.BLACK  | 13   | 0   
Color.BLACK  | 15   | 0   
Color.BLACK  | 16   | 1   
Color.BLACK  | 16   | 1   
Color.BLACK  | 16   | 1   
Color.BLACK  | 16   | 0   
Color.BLACK  | 16   | 1   
Color.BLACK  | 17   | 0   
Color.BLACK  | 16   | 1   
Color.BLACK  | 12   | 0   
Color.BLACK  | 12   | 1   
Color.GREEN  | 8    | 0   
Color.BLACK  | 7    | 0   
Color.BLACK  | 7    | 0   
Color.BLUE   | 19   | 1   
Color.BLUE   | 22   | 1   
Color.BLUE   | 20   | 1   
Color.BLUE   | 21   | 1   
Color.BLUE   | 22   | 1   
Color.BLUE   | 23   | 1   
Color.BLUE   | 25   | 1   
Color.BLUE   | 11   | 0   
Color.BLACK  | 5    | 1   
Color.GREEN  | 10   | 0   
Color.GREEN  | 11   | 0   
Color.BLACK  | 11   | 0   
Color.BLACK  | 11   | 0   
Color.BLACK  | 12   | 1   
Color.GREEN  | 11   | 0   
Color.BLACK  | 10   | 0   
Color.BLACK  | 10   | 0   
Color.BLACK  | 7    | 0   
Color.BLACK  | 9    | 0   
Color.BLACK  | 9    | 0   
Color.BLACK  | 9    | 0   
Color.BLACK  | 10   | 0   
Color.GREEN  | 9    | 0   
Color.BLACK  | 8    | 0   
Color.BLACK  | 8    | 0   
Color.BLACK  | 12   | 0   
Color.BLACK  | 11   | 0   
Color.BLACK  | 12   | 0   
Color.BLACK  | 11   | 0   
Color.BLACK  | 12   | 1   
